car,价格,保养,内饰,凌渡,动力,外观,奥迪A3进口,安全,操控,桑塔纳,汉兰达,油耗,途观,速腾,配置,雅阁
价格,0.0,3.60952406143e-05,0.00515259244975,0.000359985880004,0.00136719940741,0.00161813106477,0.00227044980872,0.001280218312,0.00175763386492,0.00258706998486,0.00358815699279,0.00025935916439,6.10352604995e-05,0.000148765432462,0.00290300780192,0.00179051097793
保养,3.60952406143e-05,0.0,0.0053107624488,0.000427757097384,0.00172101516369,0.00187688130896,0.00216616879883,0.00117440025366,0.0020659481798,0.00295589474379,0.00389478404362,0.000235884968418,5.00266514795e-05,0.000281042664753,0.0028983604638,0.00181479568822
内饰,0.00515259244975,0.0053107624488,0.0,0.00278872237135,0.00230929575467,0.00132005009296,0.00109529789226,0.0018727961293,0.00143656925598,0.00111357773952,0.000394449124865,0.00333506933609,0.00433287701219,0.00644660039212,0.000482420743764,0.000951057875451
凌渡,0.000359985880004,0.000427757097384,0.00278872237135,0.0,0.000616507680297,0.000538720492519,0.000956094762677,0.000433269799362,0.000672559856027,0.00119777873908,0.00174349062459,6.96828227225e-05,0.00018774159281,0.000812377017958,0.00126016934028,0.00056599419737
动力,0.00136719940741,0.00172101516369,0.00230929575467,0.000616507680297,0.0,0.000159765662907,0.00186752826363,0.00152609379427,0.000103255595681,0.000284421610211,0.000895298146022,0.00109666665255,0.00128621700344,0.00156837305616,0.00166986320642,0.0010229346726
外观,0.00161813106477,0.00187688130896,0.00132005009296,0.000538720492519,0.000159765662907,0.0,0.00102286637277,0.000924272773003,1.71978916368e-05,0.000132374306097,0.000408119811352,0.000967066898142,0.00134188849457,0.00212739852282,0.000807007245837,0.000424305748394
奥迪A3进口,0.00227044980872,0.00216616879883,0.00109529789226,0.000956094762677,0.00186752826363,0.00102286637277,0.0,0.000154277250508,0.00129829266873,0.00156272855697,0.00125619712572,0.000998324362476,0.00161553946417,0.00345649079498,0.000126179058638,0.000129629506612
安全,0.001280218312,0.00117440025366,0.0018727961293,0.000433269799362,0.00152609379427,0.000924272773003,0.000154277250508,0.0,0.00119012213615,0.00163939084076,0.00165058989794,0.000387443159755,0.000792171084676,0.00223970557151,0.000470815109954,0.000189968658828
操控,0.00175763386492,0.0020659481798,0.00143656925598,0.000672559856027,0.000103255595681,1.71978916368e-05,0.00129829266873,0.00119012213615,0.0,7.99568281717e-05,0.000409400847151,0.00116058531416,0.00151951652234,0.0021929872846,0.00102051471358,0.000608130614236
桑塔纳,0.00258706998486,0.00295589474379,0.00111357773952,0.00119777873908,0.000284421610211,0.000132374306097,0.00156272855697,0.00163939084076,7.99568281717e-05,0.0,0.000191767765969,0.0018135168504,0.00228856919725,0.00307780183027,0.0010894517153,0.000822315787628
汉兰达,0.00358815699279,0.00389478404362,0.000394449124865,0.00174349062459,0.000895298146022,0.000408119811352,0.00125619712572,0.00165058989794,0.000409400847151,0.000191767765969,0.0,0.00236966713792,0.0030754755645,0.00439816319639,0.000674098521921,0.000726529697842
油耗,0.00025935916439,0.000235884968418,0.00333506933609,6.96828227225e-05,0.00109666665255,0.000967066898142,0.000998324362476,0.000387443159755,0.00116058531416,0.0018135168504,0.00236966713792,0.0,7.4431959851e-05,0.000769513420624,0.0014808714252,0.000743741186891
途观,6.10352604995e-05,5.00266514795e-05,0.00433287701219,0.00018774159281,0.00128621700344,0.00134188849457,0.00161553946417,0.000792171084676,0.00151951652234,0.00228856919725,0.0030754755645,7.4431959851e-05,0.0,0.000396940490118,0.00221068823478,0.00127208989463
速腾,0.000148765432462,0.000281042664753,0.00644660039212,0.000812377017958,0.00156837305616,0.00212739852282,0.00345649079498,0.00223970557151,0.0021929872846,0.00307780183027,0.00439816319639,0.000769513420624,0.000396940490118,0.0,0.00409577922814,0.002733626769
配置,0.00290300780192,0.0028983604638,0.000482420743764,0.00126016934028,0.00166986320642,0.000807007245837,0.000126179058638,0.000470815109954,0.00102051471358,0.0010894517153,0.000674098521921,0.0014808714252,0.00221068823478,0.00409577922814,0.0,0.000137352927925
雅阁,0.00179051097793,0.00181479568822,0.000951057875451,0.00056599419737,0.0010229346726,0.000424305748394,0.000129629506612,0.000189968658828,0.000608130614236,0.000822315787628,0.000726529697842,0.000743741186891,0.00127208989463,0.002733626769,0.000137352927925,0.0
