汉兰达 2015款 2.0T 两驱精英版 5座	23.98	3	14	膝部气囊,发动机启停技术,上坡辅助,后排座椅比例放倒,日间行车灯	大灯高度可调,电动天窗,真皮方向盘
汉兰达 2015款 2.0T 两驱精英版 7座	24.88	3	15	膝部气囊,上坡辅助,后排座椅比例放倒,发动机启停技术,日间行车灯	大灯高度可调,电动天窗,真皮方向盘
汉兰达 2015款 2.0T 四驱精英版 7座	25.88	3	17	中央差速器锁止功能,陡坡缓降,膝部气囊,上坡辅助,后排座椅比例放倒	大灯高度可调,电动天窗,真皮方向盘
汉兰达 2015款 2.0T 两驱豪华版 7座	28.48	1	28	全景天窗,后排独立空调,膝部气囊,副驾驶座电动调节,后视镜电动折叠	大灯高度可调
汉兰达 2015款 2.0T 四驱豪华版 7座	29.48	1	30	后排独立空调,全景天窗,陡坡缓降,中央差速器锁止功能,膝部气囊	大灯高度可调
汉兰达 2015款 2.0T 两驱豪华导航版 7座	29.28	1	30	定位互动服务,后排独立空调,全景天窗,膝部气囊,副驾驶座电动调节	大灯高度可调
汉兰达 2015款 2.0T 四驱豪华导航版 7座	30.28	1	32	定位互动服务,后排独立空调,全景天窗,陡坡缓降,中央差速器锁止功能	大灯高度可调
汉兰达 2015款 2.0T 四驱至尊版 7座	33.08	0	46	电动后备厢,方向盘加热,前排座椅通风,并线辅助,自适应巡航	
汉兰达 2015款 3.5L 四驱精英版 7座	32.28	3	16	陡坡缓降,中央差速器锁止功能,膝部气囊,上坡辅助,后排座椅比例放倒	大灯高度可调,电动天窗,真皮方向盘
汉兰达 2015款 3.5L 四驱豪华版 7座	37.98	1	29	后排独立空调,全景天窗,陡坡缓降,膝部气囊,中央差速器锁止功能	大灯高度可调
汉兰达 2015款 3.5L 四驱豪华导航版 7座	38.78	1	31	定位互动服务,后排独立空调,全景天窗,陡坡缓降,膝部气囊	大灯高度可调
汉兰达 2015款 3.5L 四驱至尊版 7座	42.28	0	45	电动后备厢,定位互动服务,后排独立空调,陡坡缓降,膝部气囊	
汉兰达 2012款 2.7L 两驱5座精英版	24.88	3	11	后排侧隐私玻璃,膝部气囊,上坡辅助,后排座椅比例放倒,第二排座椅移动	电动天窗,行车电脑显示屏,真皮方向盘
汉兰达 2012款 2.7L 两驱7座精英版	26.28	3	12	后排侧隐私玻璃,膝部气囊,上坡辅助,后排座椅比例放倒,第三排座椅	电动天窗,行车电脑显示屏,真皮方向盘
汉兰达 2012款 2.7L 两驱5座运动版	27.88	1	19	后排侧隐私玻璃,膝部气囊,副驾驶座电动调节,主驾驶座电动调节,前排座椅加热	电动天窗
汉兰达 2012款 2.7L 两驱7座豪华版	29.88	0	23	后排独立空调,后排侧隐私玻璃,膝部气囊,副驾驶座电动调节,多媒体系统	
汉兰达 2012款 2.7L 两驱7座豪华导航版	31.88	0	26	定位互动服务,后排独立空调,后排侧隐私玻璃,膝部气囊,副驾驶座电动调节	
汉兰达 2012款 2.7L 两驱7座至尊版	33.88	0	32	电动后备厢,定位互动服务,后排独立空调,后排侧隐私玻璃,膝部气囊	
汉兰达 2012款 3.5L 四驱7座精英版	32.98	3	15	后排独立空调,陡坡缓降,后排侧隐私玻璃,膝部气囊,温度分区控制	电动天窗,行车电脑显示屏,真皮方向盘
汉兰达 2012款 3.5L 四驱7座豪华版	37.98	0	24	后排独立空调,陡坡缓降,后排侧隐私玻璃,膝部气囊,副驾驶座电动调节	
汉兰达 2012款 3.5L 四驱7座豪华导航版	39.98	0	27	定位互动服务,后排独立空调,陡坡缓降,后排侧隐私玻璃,膝部气囊	
汉兰达 2012款 3.5L 四驱7座至尊版	42.98	0	33	电动后备厢,定位互动服务,后排独立空调,陡坡缓降,后排侧隐私玻璃	
速腾 2015款 1.6L 手动时尚型	13.18	3	5	上坡辅助,后排座椅比例放倒,后视镜加热,空调手动控制,转向辅助灯	电动天窗,真皮方向盘,后座出风口
速腾 2015款 1.6L 自动时尚型	14.38	3	5	上坡辅助,后排座椅比例放倒,后视镜加热,空调手动控制,转向辅助灯	电动天窗,真皮方向盘,后座出风口
速腾 2015款 1.6L 手动舒适型	13.88	0	11	胎压监测装置,腰部支撑调节,上坡辅助,后排座椅比例放倒,定速巡航	
